                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.1206,                0.21268,                0.87896,                0.99943,                 0.9999,                  0.995,                0.98635,                0.21664,                0.22439,                 0.5585,                0.00703,                0.00703,                0.00703
                     38,                0.12083,                0.21526,                0.88038,                 0.9998,                      1,                  0.995,                  0.995,                0.17401,                0.20596,                  0.518,              0.0069475,              0.0069475,              0.0069475
                     39,                0.11668,                0.21374,                0.87776,                0.99974,                      1,                  0.995,                  0.995,                0.17579,                0.21279,                0.52587,               0.006865,               0.006865,               0.006865
                     40,                0.11919,                0.20953,                0.87899,                0.99968,                      1,                  0.995,                0.99339,                 0.1927,                0.23853,                0.53565,              0.0067825,              0.0067825,              0.0067825
                     41,                0.11905,                0.21653,                0.87831,                0.99982,                0.99883,                  0.995,                0.99499,                0.17693,                0.20201,                0.51993,                 0.0067,                 0.0067,                 0.0067
                     42,                0.11756,                0.21342,                0.88153,                0.99451,                0.99544,                  0.995,                0.99455,                0.17501,                0.24396,                0.52545,              0.0066175,              0.0066175,              0.0066175
                     43,                0.11555,                0.20722,                0.87887,                 0.9998,                0.99884,                  0.995,                  0.995,                0.17387,                0.24002,                0.52703,               0.006535,               0.006535,               0.006535
                     44,                0.11588,                0.21654,                0.87969,                0.99984,                      1,                  0.995,                  0.995,                0.20405,                0.23054,                0.53847,              0.0064525,              0.0064525,              0.0064525
                     45,                0.11615,                0.20628,                0.87825,                0.99984,                      1,                  0.995,                  0.995,                0.13648,                 0.1888,                0.49647,                0.00637,                0.00637,                0.00637
                     46,                0.11706,                0.21495,                0.87799,                0.99978,                      1,                  0.995,                0.99499,                 0.1664,                0.21372,                0.50718,              0.0062875,              0.0062875,              0.0062875
                     47,                0.11461,                0.20441,                0.87996,                0.99579,                0.99558,                  0.995,                0.99485,                0.18502,                0.21513,                0.53541,               0.006205,               0.006205,               0.006205
                     48,                0.11231,                 0.2022,                0.87648,                0.99962,                      1,                  0.995,                  0.995,                0.17967,                 0.2079,                0.52543,              0.0061225,              0.0061225,              0.0061225
                     49,                0.10878,                0.20014,                 0.8785,                0.99983,                      1,                  0.995,                0.99318,                0.18016,                0.22499,                0.52469,                0.00604,                0.00604,                0.00604
                     50,                0.11242,                0.20274,                0.88086,                 0.9997,                      1,                  0.995,                  0.995,                0.17045,                0.23902,                0.51187,              0.0059575,              0.0059575,              0.0059575
                     51,                0.11035,                0.19439,                0.87736,                0.99977,                      1,                  0.995,                  0.995,                0.16961,                0.20021,                 0.5131,               0.005875,               0.005875,               0.005875
                     52,                0.10832,                0.19529,                0.87902,                0.99942,                      1,                  0.995,                  0.995,                0.16705,                0.21274,                 0.5102,              0.0057925,              0.0057925,              0.0057925
                     53,                0.11165,                0.19231,                0.87778,                0.99984,                      1,                  0.995,                0.99489,                0.16377,                0.21285,                0.50761,                0.00571,                0.00571,                0.00571
                     54,                 0.1073,                0.19404,                0.87542,                0.99985,                      1,                  0.995,                0.99493,                0.15468,                0.18909,                0.50228,              0.0056275,              0.0056275,              0.0056275
                     55,                0.10812,                 0.1902,                0.87766,                0.99981,                      1,                  0.995,                  0.995,                 0.1527,                0.18586,                0.50336,               0.005545,               0.005545,               0.005545
                     56,                0.10676,                  0.184,                0.87488,                0.99982,                      1,                  0.995,                0.99499,                0.16784,                 0.1925,                 0.5067,              0.0054625,              0.0054625,              0.0054625
                     57,                0.10531,                0.19474,                0.87745,                0.99979,                      1,                  0.995,                  0.995,                0.16467,                0.22916,                0.50499,                0.00538,                0.00538,                0.00538
                     58,                0.10679,                0.19164,                0.87576,                0.99983,                      1,                  0.995,                0.99494,                0.18172,                0.24205,                0.52885,              0.0052975,              0.0052975,              0.0052975
                     59,                0.10186,                0.17963,                0.87765,                0.99985,                      1,                  0.995,                0.99357,                0.18593,                0.24224,                 0.5404,               0.005215,               0.005215,               0.005215
                     60,                0.10413,                0.18652,                0.87622,                0.99976,                      1,                  0.995,                  0.995,                0.19528,                 0.2754,                0.52429,              0.0051325,              0.0051325,              0.0051325
                     61,                0.10235,                0.18181,                0.87692,                0.99981,                      1,                  0.995,                  0.995,                0.15776,                0.24112,                0.50473,                0.00505,                0.00505,                0.00505
